branch,month,month_num,sales,mean_sales,median_sales,std_sales,robust_zscore,zscore,mom_pct,anomaly_flag,anomaly_reason
Stories Ramlet El Bayda,September,9,6585103.32,4673724.16,5904160.08,2457615.2,0.279,0.778,-14.12,0,
Stories Khaldeh,January,1,7468155.33,7012967.67,7111228.85,2094655.92,0.275,0.217,,0,
Stories Faqra,July,7,482036.04,914782.79,795851.35,831464.08,-0.266,-0.52,36.91,0,
Stories Le Mall,March,3,4220770.0,3905876.38,4092973.89,1187671.13,0.263,0.265,11.88,0,
Stories Batroun,October,10,4372225.54,4506122.04,4631211.94,1400870.73,-0.246,-0.096,-13.27,0,
Stories Verdun,December,12,1695655.86,2094699.57,1926558.6,903225.59,-0.245,-0.442,-31.24,0,
Stories Bayada,September,9,4917258.26,4386961.54,4752864.27,1212894.31,0.242,0.437,-12.4,0,
Stories Bayada,November,11,4588470.28,4386961.54,4752864.27,1212894.31,-0.242,0.166,-12.17,0,
Stories Bir Hasan,February,2,2842993.67,2863102.02,2989907.82,814063.25,-0.237,-0.025,-15.28,0,
Stories Centro Mall,November,11,3497554.96,3128476.49,3248535.44,966889.09,0.233,0.382,14.31,0,
Stories Ain El Mreisseh,March,3,9849926.67,9967738.5,10223378.57,2623565.47,-0.227,-0.045,-0.81,0,
Stories Bir Hasan,October,10,3128528.54,2863102.02,2989907.82,814063.25,0.224,0.326,-3.91,0,
Stories Bir Hasan,November,11,2851287.1,2863102.02,2989907.82,814063.25,-0.224,-0.015,-8.86,0,
Stories Le Mall,September,9,4201888.9,3905876.38,4092973.89,1187671.13,0.224,0.249,-22.94,0,
Stories Le Mall,November,11,3984058.87,3905876.38,4092973.89,1187671.13,-0.224,0.066,4.65,0,
Stories Ramlet El Bayda,October,10,6435858.57,4673724.16,5904160.08,2457615.2,0.218,0.717,-2.27,0,
Stories Verdun,January,1,1747977.87,2094699.57,1926558.6,903225.59,-0.19,-0.384,,0,
