branch,month,month_num,actual_sales,trend_walkforward_pred,naive_last_month_pred,moving_avg_3_pred
Stories Lau,April,4,2358631.33,1879160.12,1859610.67,1851555.78
Stories Lau,May,5,1206958.0,2372433.5,2358631.33,2027097.44
Stories Lau,June,6,398961.67,1597696.63,1206958.0,1808400.0
Stories Lau,July,7,1050186.19,723088.43,398961.67,1321517.0
Stories Lau,August,8,1683288.29,663302.02,1050186.19,885368.62
Stories Lau,September,9,627849.85,961641.92,1683288.29,1044145.38
Stories Lau,October,10,1369579.58,686635.52,627849.85,1120441.44
Stories Lau,November,11,1173966.97,810905.97,1369579.58,1226905.91
Stories Lau,December,12,619603.6,831272.47,1173966.97,1057132.13
Stories Le Mall,April,4,4428620.0,4297878.89,4220770.0,3958123.89
Stories Le Mall,May,5,2163876.67,4598497.5,4428620.0,4140658.89
Stories Le Mall,June,6,967783.33,2859900.67,2163876.67,3604422.22
Stories Le Mall,July,7,4986426.44,1320664.78,967783.33,2520093.33
Stories Le Mall,August,8,5452825.84,2867258.92,4986426.44,2706028.81
Stories Le Mall,September,9,4201888.9,4004675.75,5452825.84,3802345.2
Stories Le Mall,October,10,3807124.33,4152423.32,4201888.9,4880380.39
Stories Le Mall,November,11,3984058.87,4087548.54,3807124.33,4487279.69
Stories Le Mall,December,12,5003540.55,4104326.27,3984058.87,3997690.7
Stories Mansourieh,April,4,0.0,0.0,0.0,0.0
Stories Mansourieh,May,5,0.0,0.0,0.0,0.0
Stories Mansourieh,June,6,0.0,0.0,0.0,0.0
Stories Mansourieh,July,7,193405.41,0.0,0.0,0.0
Stories Mansourieh,August,8,5928212.63,110517.38,193405.41,64468.47
Stories Mansourieh,September,9,5813335.75,3040087.01,5928212.63,2040539.35
Stories Mansourieh,October,10,5978077.49,4778171.95,5813335.75,3978317.93
Stories Mansourieh,November,11,4888906.92,5948547.36,5978077.49,5906541.96
Stories Mansourieh,December,12,4198633.64,6319086.15,4888906.92,5560106.72
Stories Ramlet El Bayda,April,4,6011885.0,5308353.33,3588563.33,1719790.0
Stories Ramlet El Bayda,May,5,3542743.33,7806166.67,6011885.0,3723751.67
Stories Ramlet El Bayda,June,6,1445760.0,6400769.16,3542743.33,4381063.89
Stories Ramlet El Bayda,July,7,7427539.62,4250086.22,1445760.0,3666796.11
Stories Ramlet El Bayda,August,8,7668109.92,6510571.92,7427539.62,4138680.98
Stories Ramlet El Bayda,September,9,6585103.32,7874580.4,7668109.92,5513803.18
Stories Ramlet El Bayda,October,10,6435858.57,8183180.46,6585103.32,7226917.62
Stories Ramlet El Bayda,November,11,5863675.69,8279987.55,6435858.57,6896357.27
Stories Ramlet El Bayda,December,12,5944644.46,8101756.07,5863675.69,6294879.19
Stories Raouche,April,4,0.0,0.0,0.0,0.0
Stories Raouche,May,5,0.0,0.0,0.0,0.0
Stories Raouche,June,6,0.0,0.0,0.0,0.0
Stories Raouche,July,7,0.0,0.0,0.0,0.0
Stories Raouche,August,8,0.0,0.0,0.0,0.0
Stories Raouche,September,9,0.0,0.0,0.0,0.0
Stories Raouche,October,10,0.0,0.0,0.0,0.0
Stories Raouche,November,11,1740370.88,0.0,0.0,0.0
Stories Raouche,December,12,2815825.84,632862.14,1740370.88,580123.63
Stories Saida,April,4,6361154.33,3111443.12,4684910.67,5689864.78
Stories Saida,May,5,3010781.67,5071943.5,6361154.33,5389138.78
Stories Saida,June,6,1323360.0,3108716.57,3010781.67,4685615.56
Stories Saida,July,7,5939826.44,1191949.02,1323360.0,3565098.67
Stories Saida,August,8,5925560.98,2923441.06,5939826.44,3424656.04
Stories Saida,September,9,4245091.9,3951621.4,5925560.98,4396249.14
Stories Saida,October,10,3639435.44,3859349.78,4245091.9,5370159.77
Stories Saida,November,11,3665840.85,3568245.78,3639435.44,4603362.77
Stories Saida,December,12,3825643.86,3388601.31,3665840.85,3850122.73
Stories Sin El Fil,April,4,0.0,0.0,0.0,0.0
Stories Sin El Fil,May,5,0.0,0.0,0.0,0.0
Stories Sin El Fil,June,6,0.0,0.0,0.0,0.0
Stories Sin El Fil,July,7,0.0,0.0,0.0,0.0
Stories Sin El Fil,August,8,0.0,0.0,0.0,0.0
Stories Sin El Fil,September,9,0.0,0.0,0.0,0.0
Stories Sin El Fil,October,10,2624897.9,0.0,0.0,0.0
Stories Sin El Fil,November,11,4122138.15,1049959.16,2624897.9,874965.97
Stories Sin El Fil,December,12,3551489.5,2310291.41,4122138.15,2249012.02
Stories Sour 2,April,4,0.0,0.0,0.0,0.0
Stories Sour 2,May,5,0.0,0.0,0.0,0.0
Stories Sour 2,June,6,0.0,0.0,0.0,0.0
Stories Sour 2,July,7,4504179.49,0.0,0.0,0.0
Stories Sour 2,August,8,5532578.53,2573816.85,4504179.49,1501393.16
Stories Sour 2,September,9,3970129.99,4535788.35,5532578.53,3345586.01
Stories Sour 2,October,10,3313013.33,5013538.77,3970129.99,4668962.67
Stories Sour 2,November,11,2948339.91,5024772.17,3313013.33,4271907.28
Stories Sour 2,December,12,3173568.29,4868393.53,2948339.91,3410494.41
